plot_no,MgC_per_ha,MgC_SE,longitude,latitude
100,-5.917496781249994,11.074051651915607,37.443507085,0.18883041675
101,5.368320718749999,6.831054288933009,37.44208291666662,0.1956866666666665
102,-25.157348031250002,6.005767242336957,37.45033166666663,0.19293916666666625
103,-6.3617905312500085,13.18058549811886,37.4750691666666,0.2039316666666665
104,-23.747264281249997,4.785344908066422,37.48609499999998,0.17645958333333275
105,-4.698341781250008,9.613788937180953,37.46817249999997,0.20391124999999974
106,2.9146607187499995,11.652200469080174,37.48605666666663,0.1737441666666665
109,-13.680281781250002,5.594668736515373,37.469538333333325,0.2231612499999995
110,41.220978218750005,5.898857171855645,37.4736833333333,0.21765916666666626
111,26.42498946875,14.494384244129888,37.37346791666663,0.23004874999999975
113,3.707703218749998,14.460586542862352,37.48605249999997,0.20940541666666623
123,-2.5675492812499954,6.458342434854985,37.49017958333332,0.16963791666666625
2,-28.623657406250004,7.3510008106301665,37.178432425,0.3115597875
201,-47.03150678125,4.756251684439063,37.11251776199782,0.25340060703456324
229,8.222288218749995,11.293753631330286,37.4104816666666,0.16135166666666625
233,-18.71644803125001,9.966657994623171,37.501146666666635,0.23825666666666634
281,-3.599136781249996,11.742927735601233,37.426957944408024,0.19704021862707977
3,-40.71943615625,5.0752958123647485,37.1778787625,0.310934375
31,1.108193218750003,4.131356064208306,37.251248749999945,0.22729624999999948
32,59.80924321875,22.45773615691305,37.25665209166665,0.26989916666666647
33,-11.603731781250005,8.285245827274702,37.30890833333332,0.24787208333333324
34,-29.135201781250004,9.899943427606933,37.15097931912165,0.30555957695469227
35,-33.040545531250004,13.893047256939816,37.10567708127198,0.3247835871297863
36,-34.22025178125,4.424923920161049,37.11526759201655,0.29184301150962677
43,27.94766071875,16.30739245218406,37.4365740199573,0.253390161087736
44,-4.498755531249998,9.004971355069976,37.42288041666665,0.2657608333333328
45,-3.6468642812500036,9.912831699384625,37.3912995833333,0.2684599999999995
55,2.3558032187499975,6.1069330727619136,37.24843208333327,0.2176466666666665
56,-23.34897178125,8.558339793074923,37.35280880006025,0.2725950710009778
57,42.97528571875,11.694853012074315,37.33496268047015,0.2492535661440335
58,19.804141968750002,16.39532515558787,37.389908333333274,0.221797083333333
63,-48.84699678125,2.770742670250357,37.15511374999995,0.25064541666666623
64,-30.030331781250005,6.2702095212570255,37.12627041666663,0.23824249999999975
65,-0.036520531250005206,7.719122817258205,37.291028749999974,0.26843333333333297
66,-4.8323392812500146,12.796350871924304,37.3267452092841,0.20665575983002726
67,12.399353218749994,19.001880894944204,37.296529583333296,0.21354833333333276
71,3.097226968749993,7.781092164757668,37.44344925,0.17647374999999998
72,-9.834259281249999,6.020285920813547,37.502452551852876,0.2644169318955388
73,11.537181968750005,7.0870396051065345,37.494254999999974,0.2657679166666662
74,7.788773218749995,14.895161801364889,37.365162499999975,0.22314124999999974
75,-28.32686303125,5.436170287700689,37.47231198241928,0.22867409745231224
76,27.38120821874999,12.511015952076214,37.4104965,0.23963725
79,31.33210946874999,30.113523998722332,37.4104972222222,0.25888527777777764
80,-8.652068031249996,7.817711866929579,37.45996291666665,0.2588954166666665
81,22.15798946874999,30.80487320587821,37.47366360555553,0.2753555555555555
82,29.029216968749992,12.819602048442832,37.274534166666626,0.27124499999999974
83,47.588079468749996,8.643831383495153,37.322634166666624,0.26846124999999976
84,6.197061968749992,8.372905049454815,37.30753929354245,0.206667326856404
85,5.612725718749999,8.858331680199166,37.36518721561875,0.2616088057402515
86,0.4473132187499971,7.950911416993898,37.36110080732028,0.2615917276125395
87,-1.5051180312499923,7.475492396922862,37.29791499999995,0.28083999999999976
88,-3.120121781250006,9.237535971183126,37.388535509817274,0.2643506939057255
89,5.986535718749991,10.992945860556823,37.40500416666665,0.27806583333333273
90,15.864140718750008,6.964492354579,37.45582749999995,0.24789124999999976
91,-29.573805531250002,8.302702255314069,37.2580858333333,0.2176829166666665
92,-7.922446781250002,4.723007337023061,37.24709624999998,0.27672083333333325
93,-4.026391781249998,13.29236517933943,37.318512083333275,0.24649124999999975
94,-31.914949281250003,9.282840318014747,37.0973983802832,0.33165417029522326
95,-26.947031781250004,6.322745725302262,37.122100896667646,0.31105398782528876
96,-25.378678031250004,8.106185355967156,37.1523224562406,0.254762257682159
97,-10.903409281250006,11.615944713381072,37.42689749999995,0.1710316666666665
98,67.70819446875001,19.21282883707137,37.43109541666663,0.1970654166666665
F1,4.835706968750003,7.483900892060635,37.35996520612385,0.2135669952258465
F2,2.553128218750004,12.140002341169762,37.35775408102195,0.214813677594065
F3,1.60043821875,9.857590206938294,37.35781172756103,0.21206389996223102
OW1,22.11464696875001,8.541336298600875,37.3985899589024,0.20742800552397875
OW2,0.24052946874999748,8.767745088744974,37.429568970110225,0.21505231037735875
OW3,2.0648844687499945,7.565106262584822,37.43506701663132,0.1762014871928835
OWC1,-5.638550531250004,8.812790361393372,37.28306101402265,0.26526913046836825
OWC2,1.1738357187499844,10.135522758712028,37.34755854355168,0.22313910769298625
OWC3,-1.1753655312500086,12.445491270954104,37.282231436110976,0.24518123944289924
OWCS1,4.859623218749988,5.798965131029173,37.12535512866445,0.242550201946869
OWCS2,-18.818506781250008,7.643673199969248,37.126487916666626,0.2676949999999995
OWCS3,-6.203941781249995,7.221527108408946,37.126064489129874,0.3034022008068855
PO1,26.99989821874999,7.379039847927736,37.421068333333324,0.1993762499999995
PO2,6.469838218749999,5.676433790354098,37.38562545971943,0.184891142416745
PO3,18.825405718750005,7.186205578088747,37.428710726089726,0.17525329487398225
PY1,2.3838594687500034,9.418666113596627,37.3722226917743,0.229375076014548
PY2,24.05168321875,11.714798187424838,37.36713649006555,0.22693374194204774
PY3,9.842418218749998,11.118988216135676,37.37049312796437,0.21540317684411975
